dataset,N,K,S1,S2,Nc_type,alpha,model_type,splitmerge,noc,maxiter_gibbs,maxiter_eta0,maxiter_alpha,exp_name_list,n_exp
synthetic,100,10,5,5,unbalanced,0.4,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:44:46.610256', 'synthetic_2023-09-27 20:45:22.651618', 'synthetic_2023-09-27 20:45:57.141323', 'synthetic_2023-09-27 22:45:04.962835', 'synthetic_2023-09-27 20:45:02.990130', 'synthetic_2023-09-27 22:45:50.555505', 'synthetic_2023-09-27 20:45:35.391944', 'synthetic_2023-09-27 22:46:00.298644', 'synthetic_2023-09-27 22:45:21.813933', 'synthetic_2023-09-27 20:44:50.156597']",10
synthetic,100,5,5,5,unbalanced,0.9,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:31.733724', 'synthetic_2023-09-27 22:45:55.167100', 'synthetic_2023-09-27 22:45:34.585665', 'synthetic_2023-09-27 22:45:00.112150', 'synthetic_2023-09-27 20:45:02.995315', 'synthetic_2023-09-27 20:45:50.105296', 'synthetic_2023-09-27 22:45:32.412288', 'synthetic_2023-09-27 20:44:50.171374', 'synthetic_2023-09-27 22:44:44.917063', 'synthetic_2023-09-27 20:45:17.545356']",10
synthetic,100,10,5,5,unbalanced,0.8,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:53.664284', 'synthetic_2023-09-27 22:44:48.282725', 'synthetic_2023-09-27 22:45:23.970025', 'synthetic_2023-09-27 20:45:02.068789', 'synthetic_2023-09-27 20:44:46.333174', 'synthetic_2023-09-27 20:45:50.977921', 'synthetic_2023-09-27 20:45:19.283674', 'synthetic_2023-09-27 22:45:04.964662', 'synthetic_2023-09-27 20:45:36.739376', 'synthetic_2023-09-27 22:46:00.297111']",10
synthetic,100,5,5,5,unbalanced,0.6,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:31.739362', 'synthetic_2023-09-27 20:45:50.108363', 'synthetic_2023-09-27 20:45:12.509374', 'synthetic_2023-09-27 20:45:02.991554', 'synthetic_2023-09-27 22:44:43.123157', 'synthetic_2023-09-27 22:44:58.980916', 'synthetic_2023-09-27 22:45:55.164308', 'synthetic_2023-09-27 22:45:16.277578', 'synthetic_2023-09-27 20:45:14.303029', 'synthetic_2023-09-27 22:45:53.006565']",10
synthetic,100,10,5,5,balanced,0.3,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:15.575902', 'synthetic_2023-09-27 20:45:31.963728', 'synthetic_2023-09-27 22:45:34.772082', 'synthetic_2023-09-27 20:45:52.445718', 'synthetic_2023-09-27 22:44:46.609671', 'synthetic_2023-09-27 20:44:50.163781', 'synthetic_2023-09-27 22:45:52.256281', 'synthetic_2023-09-27 20:45:01.623388', 'synthetic_2023-09-27 20:45:19.900347', 'synthetic_2023-09-27 22:45:32.292758']",10
synthetic,100,5,5,5,balanced,0.5,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:15.577370', 'synthetic_2023-09-27 20:45:12.494416', 'synthetic_2023-09-27 22:44:43.143275', 'synthetic_2023-09-27 20:45:42.345687', 'synthetic_2023-09-27 20:45:01.280191', 'synthetic_2023-09-27 20:45:38.468244', 'synthetic_2023-09-27 20:45:15.524300', 'synthetic_2023-09-27 22:44:55.844681', 'synthetic_2023-09-27 22:45:47.259243', 'synthetic_2023-09-27 22:45:33.402259']",10
synthetic,100,10,5,5,unbalanced,0.2,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:49.556426', 'synthetic_2023-09-27 22:45:02.489031', 'synthetic_2023-09-27 22:45:21.808061', 'synthetic_2023-09-27 20:45:19.873079', 'synthetic_2023-09-27 22:45:41.485766', 'synthetic_2023-09-27 22:44:46.586528', 'synthetic_2023-09-27 20:45:01.622077', 'synthetic_2023-09-27 20:45:37.113536', 'synthetic_2023-09-27 22:45:58.144006', 'synthetic_2023-09-27 20:44:50.165098']",10
synthetic,100,2,5,5,unbalanced,0.9,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:44:53.250720', 'synthetic_2023-09-27 20:45:42.383994', 'synthetic_2023-09-27 20:44:40.308726', 'synthetic_2023-09-27 22:45:48.234833', 'synthetic_2023-09-27 22:45:15.277602', 'synthetic_2023-09-27 22:45:32.412952', 'synthetic_2023-09-27 22:44:54.297817', 'synthetic_2023-09-27 20:45:13.325985', 'synthetic_2023-09-27 22:44:44.296403', 'synthetic_2023-09-27 20:45:31.718770']",10
synthetic,100,10,5,5,balanced,0.7,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:48.823138', 'synthetic_2023-09-27 22:45:11.141137', 'synthetic_2023-09-27 20:45:20.173316', 'synthetic_2023-09-27 20:45:00.129943', 'synthetic_2023-09-27 20:45:33.458291', 'synthetic_2023-09-27 22:44:46.585415', 'synthetic_2023-09-27 20:44:50.164381', 'synthetic_2023-09-27 22:45:38.769387', 'synthetic_2023-09-27 22:46:08.561918', 'synthetic_2023-09-27 22:45:21.810907']",10
synthetic,100,10,5,5,unbalanced,0.0,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:37.112260', 'synthetic_2023-09-27 20:45:19.672689', 'synthetic_2023-09-27 22:45:21.139871', 'synthetic_2023-09-27 20:45:51.660470', 'synthetic_2023-09-27 20:44:50.170405', 'synthetic_2023-09-27 22:45:04.227403', 'synthetic_2023-09-27 20:45:01.627065', 'synthetic_2023-09-27 22:45:41.480547', 'synthetic_2023-09-27 22:44:46.589329', 'synthetic_2023-09-27 22:45:58.142817']",10
synthetic,100,5,5,5,unbalanced,0.3,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:11.299086', 'synthetic_2023-09-27 22:45:51.200556', 'synthetic_2023-09-27 22:45:34.818437', 'synthetic_2023-09-27 22:44:43.126851', 'synthetic_2023-09-27 20:45:50.104080', 'synthetic_2023-09-27 20:45:01.285974', 'synthetic_2023-09-27 22:44:57.959012', 'synthetic_2023-09-27 20:45:29.006322', 'synthetic_2023-09-27 20:45:12.505300', 'synthetic_2023-09-27 22:45:17.001092']",10
synthetic,100,2,5,5,balanced,0.1,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:44:34.553632', 'synthetic_2023-09-27 22:45:53.007638', 'synthetic_2023-09-27 20:45:41.888580', 'synthetic_2023-09-27 20:45:19.283084', 'synthetic_2023-09-27 20:44:47.498216', 'synthetic_2023-09-27 22:45:15.273311', 'synthetic_2023-09-27 22:45:24.247235', 'synthetic_2023-09-27 20:45:06.917438', 'synthetic_2023-09-27 22:44:41.357615', 'synthetic_2023-09-27 22:45:03.511019']",10
synthetic,100,10,5,5,unbalanced,0.1,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:44:46.599298', 'synthetic_2023-09-27 22:45:58.141217', 'synthetic_2023-09-27 22:45:19.301623', 'synthetic_2023-09-27 22:45:02.489752', 'synthetic_2023-09-27 20:45:51.658616', 'synthetic_2023-09-27 20:45:19.872585', 'synthetic_2023-09-27 20:44:50.154289', 'synthetic_2023-09-27 22:45:41.482249', 'synthetic_2023-09-27 20:45:01.623024', 'synthetic_2023-09-27 20:45:37.111664']",10
synthetic,100,10,5,5,unbalanced,0.3,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:22.652317', 'synthetic_2023-09-27 20:45:50.497529', 'synthetic_2023-09-27 22:45:04.960992', 'synthetic_2023-09-27 22:45:58.142041', 'synthetic_2023-09-27 22:44:46.592097', 'synthetic_2023-09-27 20:45:02.999488', 'synthetic_2023-09-27 22:45:21.814396', 'synthetic_2023-09-27 20:45:37.112999', 'synthetic_2023-09-27 22:45:41.483642', 'synthetic_2023-09-27 20:44:50.169845']",10
synthetic,100,2,5,5,unbalanced,0.8,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:17.152695', 'synthetic_2023-09-27 22:45:48.235503', 'synthetic_2023-09-27 22:44:44.298196', 'synthetic_2023-09-27 22:44:54.297185', 'synthetic_2023-09-27 20:45:31.711534', 'synthetic_2023-09-27 20:44:53.247292', 'synthetic_2023-09-27 22:45:15.279841', 'synthetic_2023-09-27 22:45:32.312108', 'synthetic_2023-09-27 20:45:43.527773', 'synthetic_2023-09-27 20:44:40.309523']",10
synthetic,100,10,5,5,balanced,0.2,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:00.114953', 'synthetic_2023-09-27 22:45:55.165851', 'synthetic_2023-09-27 22:45:42.761768', 'synthetic_2023-09-27 20:45:19.962600', 'synthetic_2023-09-27 22:45:19.368107', 'synthetic_2023-09-27 20:44:50.167239', 'synthetic_2023-09-27 20:45:01.624395', 'synthetic_2023-09-27 20:45:35.390794', 'synthetic_2023-09-27 20:45:52.496695', 'synthetic_2023-09-27 22:44:46.608108']",10
synthetic,100,10,5,5,balanced,0.6,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:02.067800', 'synthetic_2023-09-27 22:46:08.557474', 'synthetic_2023-09-27 20:45:20.186924', 'synthetic_2023-09-27 22:45:38.769625', 'synthetic_2023-09-27 20:44:50.169146', 'synthetic_2023-09-27 20:45:52.583658', 'synthetic_2023-09-27 20:45:34.299157', 'synthetic_2023-09-27 22:45:21.812612', 'synthetic_2023-09-27 22:45:11.141889', 'synthetic_2023-09-27 22:44:46.590354']",10
synthetic,100,2,5,5,balanced,0.7,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:48.516972', 'synthetic_2023-09-27 20:44:55.063758', 'synthetic_2023-09-27 22:44:44.287692', 'synthetic_2023-09-27 22:45:28.574487', 'synthetic_2023-09-27 20:44:34.548511', 'synthetic_2023-09-27 22:45:12.337354', 'synthetic_2023-09-27 20:45:25.876327', 'synthetic_2023-09-27 22:45:03.512536', 'synthetic_2023-09-27 20:45:41.883596', 'synthetic_2023-09-27 20:45:06.859178']",10
synthetic,100,2,5,5,unbalanced,0.98,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:15.278952', 'synthetic_2023-09-27 20:44:40.311532', 'synthetic_2023-09-27 22:45:44.256765', 'synthetic_2023-09-27 22:44:57.267276', 'synthetic_2023-09-27 22:45:32.304646', 'synthetic_2023-09-27 22:44:44.285704', 'synthetic_2023-09-27 20:45:43.529063', 'synthetic_2023-09-27 20:45:31.725716', 'synthetic_2023-09-27 20:45:13.325326', 'synthetic_2023-09-27 20:45:01.288096']",10
synthetic,100,10,5,5,balanced,0.1,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:19.756788', 'synthetic_2023-09-27 22:46:08.558901', 'synthetic_2023-09-27 22:44:46.608965', 'synthetic_2023-09-27 22:45:42.763242', 'synthetic_2023-09-27 20:45:53.485825', 'synthetic_2023-09-27 20:45:01.624549', 'synthetic_2023-09-27 22:45:17.212828', 'synthetic_2023-09-27 20:45:32.355389', 'synthetic_2023-09-27 22:45:00.114226', 'synthetic_2023-09-27 20:44:50.168775']",10
synthetic,100,5,5,5,balanced,0.6,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:42.575921', 'synthetic_2023-09-27 20:45:01.293383', 'synthetic_2023-09-27 22:45:53.006094', 'synthetic_2023-09-27 20:45:12.510368', 'synthetic_2023-09-27 20:45:27.344902', 'synthetic_2023-09-27 22:44:43.141223', 'synthetic_2023-09-27 22:45:47.258267', 'synthetic_2023-09-27 22:45:15.579280', 'synthetic_2023-09-27 22:44:55.844021', 'synthetic_2023-09-27 20:45:15.517209']",10
synthetic,100,2,5,5,unbalanced,0.3,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:08.345324', 'synthetic_2023-09-27 22:45:11.429037', 'synthetic_2023-09-27 20:45:21.819864', 'synthetic_2023-09-27 20:44:53.245296', 'synthetic_2023-09-27 20:45:43.534516', 'synthetic_2023-09-27 22:45:03.515347', 'synthetic_2023-09-27 22:45:42.762596', 'synthetic_2023-09-27 22:44:44.297211', 'synthetic_2023-09-27 20:44:40.310515', 'synthetic_2023-09-27 22:45:48.665080']",10
synthetic,100,2,5,5,unbalanced,0.4,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:44:53.248219', 'synthetic_2023-09-27 20:44:40.305699', 'synthetic_2023-09-27 22:45:32.228519', 'synthetic_2023-09-27 22:44:44.299427', 'synthetic_2023-09-27 20:45:33.987330', 'synthetic_2023-09-27 20:45:08.341351', 'synthetic_2023-09-27 20:45:43.747147', 'synthetic_2023-09-27 22:45:48.696343', 'synthetic_2023-09-27 22:45:03.497689', 'synthetic_2023-09-27 22:45:12.315162']",10
synthetic,100,2,5,5,balanced,0.8,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:41.885320', 'synthetic_2023-09-27 20:44:34.547044', 'synthetic_2023-09-27 22:45:48.544522', 'synthetic_2023-09-27 20:44:55.060629', 'synthetic_2023-09-27 22:45:12.339543', 'synthetic_2023-09-27 22:45:03.514667', 'synthetic_2023-09-27 20:45:25.865188', 'synthetic_2023-09-27 20:45:06.919421', 'synthetic_2023-09-27 22:45:28.573617', 'synthetic_2023-09-27 22:44:44.292240']",10
synthetic,100,10,5,5,unbalanced,0.7,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:15.277310', 'synthetic_2023-09-27 20:45:51.737744', 'synthetic_2023-09-27 22:45:23.971238', 'synthetic_2023-09-27 20:45:02.992415', 'synthetic_2023-09-27 22:44:48.282138', 'synthetic_2023-09-27 22:46:00.300138', 'synthetic_2023-09-27 20:45:33.988282', 'synthetic_2023-09-27 20:44:46.317211', 'synthetic_2023-09-27 22:45:53.155047', 'synthetic_2023-09-27 20:45:35.121572']",10
synthetic,100,5,5,5,unbalanced,0.5,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:51.015885', 'synthetic_2023-09-27 20:45:14.303836', 'synthetic_2023-09-27 20:45:29.097282', 'synthetic_2023-09-27 22:45:53.153292', 'synthetic_2023-09-27 22:44:59.214220', 'synthetic_2023-09-27 22:44:43.140575', 'synthetic_2023-09-27 22:45:13.176731', 'synthetic_2023-09-27 20:45:12.509588', 'synthetic_2023-09-27 20:45:02.997806', 'synthetic_2023-09-27 20:45:50.106827']",10
synthetic,100,10,5,5,balanced,0.4,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:34.771429', 'synthetic_2023-09-27 20:45:19.962741', 'synthetic_2023-09-27 22:46:08.558210', 'synthetic_2023-09-27 20:44:50.165758', 'synthetic_2023-09-27 20:45:52.717995', 'synthetic_2023-09-27 22:45:15.406299', 'synthetic_2023-09-27 22:45:32.410957', 'synthetic_2023-09-27 20:45:32.632850', 'synthetic_2023-09-27 20:45:01.627287', 'synthetic_2023-09-27 22:44:46.594738']",10
synthetic,100,10,5,5,unbalanced,0.98,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:24.234268', 'synthetic_2023-09-27 22:45:53.665533', 'synthetic_2023-09-27 20:44:45.888558', 'synthetic_2023-09-27 20:45:41.875406', 'synthetic_2023-09-27 22:45:04.963583', 'synthetic_2023-09-27 20:45:19.282064', 'synthetic_2023-09-27 22:46:00.298018', 'synthetic_2023-09-27 20:45:52.466560', 'synthetic_2023-09-27 20:45:03.740918', 'synthetic_2023-09-27 22:45:03.515456']",10
synthetic,100,5,5,5,balanced,0.1,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:44:43.137249', 'synthetic_2023-09-27 22:45:32.284259', 'synthetic_2023-09-27 22:45:15.576554', 'synthetic_2023-09-27 20:45:01.288649', 'synthetic_2023-09-27 20:44:40.312101', 'synthetic_2023-09-27 22:45:48.576394', 'synthetic_2023-09-27 22:45:15.280387', 'synthetic_2023-09-27 20:45:43.748839', 'synthetic_2023-09-27 20:45:35.122635', 'synthetic_2023-09-27 20:45:15.521887']",10
synthetic,100,5,5,5,balanced,0.4,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:47.256820', 'synthetic_2023-09-27 20:45:01.292803', 'synthetic_2023-09-27 22:45:33.403916', 'synthetic_2023-09-27 22:44:55.162639', 'synthetic_2023-09-27 20:45:31.736846', 'synthetic_2023-09-27 20:45:15.518759', 'synthetic_2023-09-27 20:45:43.530382', 'synthetic_2023-09-27 22:44:43.142127', 'synthetic_2023-09-27 22:45:19.292723', 'synthetic_2023-09-27 20:45:12.508774']",10
synthetic,100,5,5,5,unbalanced,0.98,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:44:50.167939', 'synthetic_2023-09-27 22:45:55.166571', 'synthetic_2023-09-27 22:45:21.811581', 'synthetic_2023-09-27 22:45:33.329679', 'synthetic_2023-09-27 22:45:00.115718', 'synthetic_2023-09-27 20:45:49.458548', 'synthetic_2023-09-27 22:44:44.915699', 'synthetic_2023-09-27 20:45:13.500329', 'synthetic_2023-09-27 20:45:31.966243', 'synthetic_2023-09-27 20:45:02.996709']",10
synthetic,100,5,5,5,unbalanced,0.8,parametric,False,10,100,10,100,"['synthetic_2023-09-27 20:45:52.180865', 'synthetic_2023-09-27 22:44:44.917805', 'synthetic_2023-09-27 22:45:21.813263', 'synthetic_2023-09-27 20:44:50.158811', 'synthetic_2023-09-27 22:45:41.479329', 'synthetic_2023-09-27 22:45:55.169005', 'synthetic_2023-09-27 22:45:00.113746', 'synthetic_2023-09-27 20:45:13.221692', 'synthetic_2023-09-27 20:45:02.997178', 'synthetic_2023-09-27 20:45:31.714666']",10
synthetic,100,10,5,5,balanced,0.5,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:53.153437', 'synthetic_2023-09-27 22:45:00.866074', 'synthetic_2023-09-27 20:45:52.621065', 'synthetic_2023-09-27 22:44:46.588739', 'synthetic_2023-09-27 20:45:32.634388', 'synthetic_2023-09-27 22:45:32.283398', 'synthetic_2023-09-27 22:46:08.560215', 'synthetic_2023-09-27 20:44:58.805954', 'synthetic_2023-09-27 20:45:19.673344', 'synthetic_2023-09-27 20:44:50.161723']",10
synthetic,100,2,5,5,balanced,0.4,parametric,False,10,100,10,100,"['synthetic_2023-09-27 22:45:48.523478', 'synthetic_2023-09-27 22:45:11.138135', 'synthetic_2023-09-27 20:45:25.788894', 'synthetic_2023-09-27 20:45:50.870544', 'synthetic_2023-09-27 22:45:25.348404', 'synthetic_2023-09-27 22:44:41.355374', 'synthetic_2023-09-27 20:44:34.551055', 'synthetic_2023-09-27 22:45:03.504772', 'synthetic_2023-09-27 20:44:55.055164', 'synthetic_2023-09-27 20:45:06.919977']",10
